2020/03/02 15:58:55 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:55 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:55 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:55 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:56 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:57 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:58 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:59:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:59:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
